"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"42","42 2019",2019-03-31,"COL",4,"MIA",4,0,3,30,5,2,0,0,0,1,0,0,1,0,7,0,0,1,5,28,5,0,0,1,3,0,0,1,2,0,11,2,0,1,4
"43","43 2019",2019-03-31,"SLN",4,"MIL",4,4,5,34,7,1,0,3,4,0,0,0,2,0,15,2,0,0,5,32,9,3,0,1,5,0,0,0,6,1,9,0,0,1,9
"44","44 2019",2019-03-31,"ATL",3,"PHI",3,1,5,29,4,0,0,0,0,0,0,1,6,0,8,1,2,0,8,27,5,1,0,2,5,0,1,2,9,0,8,0,0,1,10
"45","45 2019",2019-03-31,"SFN",4,"SDN",4,1,3,27,2,1,0,0,1,0,0,0,2,0,10,0,1,0,1,32,8,3,0,0,3,0,0,0,5,2,4,0,0,0,10
"46","46 2019",2019-03-31,"NYN",3,"WAS",3,5,6,39,13,2,0,0,4,0,0,0,2,0,8,2,0,1,9,36,11,3,0,2,6,0,0,1,1,0,11,1,0,0,7
"47","47 2019",2019-03-31,"CHA",3,"KCA",3,6,3,36,11,3,0,2,6,0,0,0,5,0,7,0,0,2,8,33,6,2,0,0,3,0,0,0,1,0,9,0,0,0,4
"48","48 2019",2019-03-31,"CLE",3,"MIN",3,3,9,31,6,1,0,0,3,0,0,0,6,0,13,0,0,1,7,35,15,6,0,1,7,0,1,1,2,0,7,0,0,2,6
"49","49 2019",2019-03-31,"BAL",3,"NYA",3,7,5,34,8,1,0,3,7,0,0,0,7,0,11,1,0,1,7,37,9,1,0,1,5,0,0,1,8,0,14,0,0,0,14
"50","50 2019",2019-03-31,"ANA",4,"OAK",6,1,2,29,3,2,0,1,1,0,0,1,1,0,8,1,0,1,3,31,7,1,0,1,2,0,0,0,3,1,6,0,0,1,8
"51","51 2019",2019-03-31,"BOS",4,"SEA",6,8,10,37,9,3,0,2,8,0,0,0,8,0,4,0,0,0,10,37,12,3,0,2,10,0,1,0,7,0,11,1,0,0,11
"52","52 2019",2019-03-31,"HOU",4,"TBA",4,1,3,28,3,0,0,1,1,0,0,0,1,0,6,0,1,1,1,32,8,2,0,1,3,0,0,0,0,0,8,0,0,0,5
"53","53 2019",2019-03-31,"CHN",3,"TEX",3,10,11,43,17,2,0,2,10,1,0,0,3,0,9,1,0,1,10,34,11,1,1,3,10,0,1,0,6,0,7,2,0,1,5
"54","54 2019",2019-03-31,"DET",4,"TOR",4,4,3,43,10,3,0,0,4,0,0,1,4,1,13,0,0,0,11,39,8,2,0,1,3,0,0,1,1,0,10,0,0,1,5
"55","55 2019",2019-04-01,"CHN",4,"ATL",4,0,8,33,9,3,0,0,0,0,0,0,4,0,5,0,0,3,10,36,12,3,0,2,6,0,0,0,7,1,9,0,0,1,11
"56","56 2019",2019-04-01,"MIL",5,"CIN",3,4,3,36,11,4,0,0,4,0,0,0,5,2,9,0,0,2,10,34,8,2,0,0,3,0,0,1,4,0,9,0,0,1,9
"57","57 2019",2019-04-01,"SFN",5,"LAN",5,4,2,36,9,4,0,1,4,0,0,1,0,0,11,0,0,0,6,32,7,0,0,2,2,0,0,0,2,0,8,0,0,2,5
